kind	group	reqLevel	absX	absZ	level	id	name	fish
woodcut	Logs	0	2154	3111	0	3879	Tree	
woodcut	Logs	0	2158	3122	0	3879	Tree	
woodcut	Logs	0	2161	3115	0	3879	Tree	
woodcut	Logs	0	2162	3103	0	3879	Tree	
woodcut	Logs	0	2163	3130	0	3879	Tree	
woodcut	Logs	0	2164	3123	0	3879	Tree	
woodcut	Logs	0	2165	3126	0	3879	Tree	
woodcut	Logs	0	2166	3091	0	3879	Tree	
woodcut	Logs	0	2166	3120	0	3879	Tree	
woodcut	Logs	0	2167	3132	0	3879	Tree	
woodcut	Logs	0	2169	3114	0	3879	Tree	
woodcut	Logs	0	2169	3124	0	3879	Tree	
woodcut	Logs	0	2171	3133	0	3879	Tree	
woodcut	Logs	0	2172	3121	0	3879	Tree	
woodcut	Logs	0	2172	3130	0	3879	Tree	
woodcut	Logs	0	2173	3124	0	3879	Tree	
woodcut	Logs	0	2172	3127	0	3881	Tree	
woodcut	Logs	0	2169	3129	0	3882	Tree	
woodcut	Logs	0	2174	3134	0	3883	Tree	
woodcut	Logs	0	2163	3141	0	3879	Tree	
woodcut	Logs	0	2166	3136	0	3879	Tree	
woodcut	Logs	0	2166	3140	0	3879	Tree	
woodcut	Logs	0	2167	3190	0	3879	Tree	
woodcut	Logs	0	2169	3136	0	3879	Tree	
woodcut	Logs	0	2172	3185	0	3879	Tree	
woodcut	Logs	0	2172	3193	0	3879	Tree	
woodcut	Logs	0	2173	3182	0	3879	Tree	
woodcut	Logs	0	2174	3148	0	3879	Tree	
woodcut	Logs	0	2167	3196	0	3881	Tree	
woodcut	Logs	0	2168	3187	0	3881	Tree	
woodcut	Logs	0	2169	3139	0	3881	Tree	
woodcut	Logs	0	2170	3180	0	3881	Tree	
woodcut	Logs	0	2171	3166	0	3881	Tree	
woodcut	Logs	0	2174	3145	0	3881	Tree	
woodcut	Logs	0	2166	3193	0	3882	Tree	
woodcut	Logs	0	2169	3199	0	3882	Tree	
woodcut	Logs	0	2171	3178	0	3883	Tree	
woodcut	Logs	0	2173	3138	0	3883	Tree	
woodcut	Logs	0	2174	3166	0	3883	Tree	
woodcut	Logs	0	2175	3137	0	3883	Tree	
woodcut	Logs	0	2164	3214	0	3879	Tree	
woodcut	Logs	0	2164	3230	0	3879	Tree	
woodcut	Logs	0	2166	3243	0	3879	Tree	
woodcut	Logs	0	2167	3206	0	3879	Tree	
woodcut	Logs	0	2167	3222	0	3879	Tree	
woodcut	Logs	0	2167	3225	0	3879	Tree	
woodcut	Logs	0	2168	3235	0	3879	Tree	
woodcut	Logs	0	2169	3230	0	3879	Tree	
woodcut	Logs	0	2170	3213	0	3879	Tree	
woodcut	Logs	0	2172	3200	0	3879	Tree	
woodcut	Logs	0	2173	3207	0	3879	Tree	
woodcut	Logs	0	2173	3211	0	3879	Tree	
woodcut	Logs	0	2173	3225	0	3879	Tree	
woodcut	Logs	0	2173	3251	0	3879	Tree	
woodcut	Logs	0	2169	3247	0	3881	Tree	
woodcut	Logs	0	2170	3227	0	3881	Tree	
woodcut	Logs	0	2170	3238	0	3881	Tree	
woodcut	Logs	0	2170	3250	0	3881	Tree	
woodcut	Logs	0	2171	3233	0	3881	Tree	
woodcut	Logs	0	2172	3222	0	3881	Tree	
woodcut	Logs	0	2172	3244	0	3881	Tree	
woodcut	Logs	0	2173	3219	0	3881	Tree	
woodcut	Logs	0	2167	3203	0	3882	Tree	
woodcut	Logs	0	2170	3209	0	3882	Tree	
woodcut	Logs	0	2171	3216	0	3882	Tree	
woodcut	Logs	0	2172	3247	0	3882	Tree	
woodcut	Logs	0	2173	3237	0	3882	Tree	
woodcut	Logs	0	2167	3280	0	3879	Tree	
woodcut	Logs	0	2170	3272	0	3879	Tree	
woodcut	Logs	0	2170	3289	0	3879	Tree	
woodcut	Logs	0	2173	3274	0	3879	Tree	
woodcut	Logs	0	2173	3287	0	3879	Tree	
woodcut	Logs	0	2173	3271	0	3881	Tree	
woodcut	Logs	0	2168	3289	0	3883	Tree	
woodcut	Logs	0	2173	3291	0	3883	Tree	
woodcut	Logs	0	2179	3123	0	3879	Tree	
woodcut	Logs	0	2194	3126	0	3879	Tree	
woodcut	Logs	0	2194	3130	0	3879	Tree	
woodcut	Logs	0	2209	3131	0	3879	Tree	
woodcut	Logs	0	2212	3133	0	3879	Tree	
woodcut	Logs	0	2232	3134	0	3879	Tree	
woodcut	Logs	0	2237	3133	0	3879	Tree	
woodcut	Logs	0	2238	3130	0	3879	Tree	
woodcut	Logs	0	2182	3128	0	3881	Tree	
woodcut	Logs	0	2187	3127	0	3881	Tree	
woodcut	Logs	0	2191	3128	0	3881	Tree	
woodcut	Logs	0	2200	3127	0	3881	Tree	
woodcut	Logs	0	2200	3132	0	3881	Tree	
woodcut	Logs	0	2203	3124	0	3881	Tree	
woodcut	Logs	0	2179	3127	0	3882	Tree	
woodcut	Logs	0	2203	3128	0	3882	Tree	
woodcut	Logs	0	2205	3133	0	3882	Tree	
woodcut	Logs	0	2176	3133	0	3883	Tree	
woodcut	Logs	0	2183	3132	0	3883	Tree	
woodcut	Logs	0	2185	3129	0	3883	Tree	
woodcut	Logs	0	2190	3124	0	3883	Tree	
woodcut	Logs	0	2192	3126	0	3883	Tree	
woodcut	Logs	0	2197	3130	0	3883	Tree	
woodcut	Logs	0	2198	3134	0	3883	Tree	
woodcut	Logs	0	2199	3130	0	3883	Tree	
woodcut	Logs	0	2205	3131	0	3883	Tree	
woodcut	Logs	0	2206	3127	0	3883	Tree	
woodcut	Logs	0	2208	3134	0	3883	Tree	
woodcut	Yew logs	60	2215	3137	0	1309	Yew	
woodcut	Yew logs	60	2217	3140	0	1309	Yew	
woodcut	Yew logs	60	2217	3143	0	1309	Yew	
woodcut	Yew logs	60	2219	3136	0	1309	Yew	
woodcut	Logs	0	2176	3160	0	3879	Tree	
woodcut	Logs	0	2176	3172	0	3879	Tree	
woodcut	Logs	0	2176	3194	0	3879	Tree	
woodcut	Logs	0	2178	3191	0	3879	Tree	
woodcut	Logs	0	2181	3162	0	3879	Tree	
woodcut	Logs	0	2181	3168	0	3879	Tree	
woodcut	Logs	0	2181	3194	0	3879	Tree	
woodcut	Logs	0	2184	3168	0	3879	Tree	
woodcut	Logs	0	2184	3193	0	3879	Tree	
woodcut	Logs	0	2187	3194	0	3879	Tree	
woodcut	Logs	0	2192	3169	0	3879	Tree	
woodcut	Logs	0	2193	3163	0	3879	Tree	
woodcut	Logs	0	2194	3196	0	3879	Tree	
woodcut	Logs	0	2196	3171	0	3879	Tree	
woodcut	Logs	0	2197	3197	0	3879	Tree	
woodcut	Logs	0	2200	3141	0	3879	Tree	
woodcut	Logs	0	2200	3146	0	3879	Tree	
woodcut	Logs	0	2200	3159	0	3879	Tree	
woodcut	Logs	0	2200	3173	0	3879	Tree	
woodcut	Logs	0	2200	3191	0	3879	Tree	
woodcut	Logs	0	2201	3150	0	3879	Tree	
woodcut	Logs	0	2201	3153	0	3879	Tree	
woodcut	Logs	0	2203	3157	0	3879	Tree	
woodcut	Logs	0	2203	3190	0	3879	Tree	
woodcut	Logs	0	2204	3137	0	3879	Tree	
woodcut	Logs	0	2204	3166	0	3879	Tree	
woodcut	Logs	0	2206	3157	0	3879	Tree	
woodcut	Logs	0	2206	3185	0	3879	Tree	
woodcut	Logs	0	2207	3166	0	3879	Tree	
woodcut	Logs	0	2208	3138	0	3879	Tree	
woodcut	Logs	0	2209	3158	0	3879	Tree	
woodcut	Logs	0	2209	3187	0	3879	Tree	
woodcut	Logs	0	2210	3141	0	3879	Tree	
woodcut	Logs	0	2210	3152	0	3879	Tree	
woodcut	Logs	0	2211	3138	0	3879	Tree	
woodcut	Logs	0	2211	3162	0	3879	Tree	
woodcut	Logs	0	2212	3145	0	3879	Tree	
woodcut	Logs	0	2212	3148	0	3879	Tree	
woodcut	Logs	0	2212	3159	0	3879	Tree	
woodcut	Logs	0	2212	3179	0	3879	Tree	
woodcut	Logs	0	2212	3185	0	3879	Tree	
woodcut	Logs	0	2215	3183	0	3879	Tree	
woodcut	Logs	0	2216	3177	0	3879	Tree	
woodcut	Logs	0	2216	3196	0	3879	Tree	
woodcut	Logs	0	2218	3158	0	3879	Tree	
woodcut	Logs	0	2218	3181	0	3879	Tree	
woodcut	Logs	0	2219	3162	0	3879	Tree	
woodcut	Logs	0	2219	3165	0	3879	Tree	
woodcut	Logs	0	2219	3175	0	3879	Tree	
woodcut	Logs	0	2219	3178	0	3879	Tree	
woodcut	Logs	0	2219	3190	0	3879	Tree	
woodcut	Logs	0	2219	3196	0	3879	Tree	
woodcut	Logs	0	2222	3152	0	3879	Tree	
woodcut	Logs	0	2222	3155	0	3879	Tree	
woodcut	Logs	0	2222	3190	0	3879	Tree	
woodcut	Logs	0	2223	3173	0	3879	Tree	
woodcut	Logs	0	2226	3151	0	3879	Tree	
